Username,Review,Ratting,1st Analysis
David E. Johnson Jr.,Thank you very much,5,1
Christian J. Gaston,Great quality!,5,1
Candiria drummer,Game arrived quick and like new condition thank you!,5,1
Melissa Baldwin,Great!,5,1
AmazonBuyerAnon,"If you own an Xbox 360 or later this is an absolute must to have in your collection. And for the price, definitely worth it.",5,1
Jon G.,"Ok modern warfare 2 has the best multiplayer of any games. first it runs at 50fps (50 frames per second)(real life speed). no other first person shooter has done that yet!! and it never glitches.awesome guns perks and everything. how can you say this multiplayer is boring or not fun. is proably because you suuck balls at this game and stop whinning and giving it bad reviews because of your lack of skill and knowledge in video games. just cause you suck doesn't mean you can rate the game bad. and for all 40 of you who gave it 1 star. your retardid. this game is the bestselling game of all time AND THATS FACT. obviously its not 1 star material. it also got a 10/10 by most critics im pretty sure its not a 1 star game. i've played every game on the xbox 360. this is arguably the best one. oh and for the kid who called activision about his broken copy, sorry buddy discs just don't stop working for no reason. you obviously scratched and ruined your copy. oh and by the way ""Activision"" did not make this game, they published it. so obviously their not going to give your a new copy. infinity ward made it so no wonder activision doesn't care about your broken game. YOU BROKE IT!!!",5,1
Amazon Customer,"Put Call of Duty Modern Warfare 2 - Xbox 360 greatest hits in the white label section, meh.",3,0
J,Overall one of the best games to ever make it on the xbox 360.,5,1
dee edwards,Gave as a gift. Great price. No problems with delivery. Worked great!,4,1
RealSlimShady22,"Game came brand new, still sealed in plastic cover. Came included with a double sided poster as seen in photo. Seller didn't tell me about the poster do was a pleasant surprise. Yes it can be played on xbox one and you can still play online with other people as of February 2019. No scratches on disk. Works fine. Would buy again. Recommend buying mw3 along with this. Very satisfying",5,1
Sean T.,"Probably the best game out of the CoD Modern Warfare trilogy, this game is awesome!",5,1
Joseph Rinaldi,Original modern warfare two Xbox 360. Great game,5,1
GILBERT L SANCHEZ,Liked the quality of the product.,5,1
ckredwing,It works just like my original disc I had accidentally broken.,5,1
Samuel Graeber,Case came a little damaged(disc wouldn’t stay in holder). Other than that everything was good. Definitely COD at its peak.,4,1
Brianna,Great game,5,1
Nathan,"To this day one of the better call of duty games if not the best, I enjoyed it thoroughly back in its hay day and would play for endless hours staying up all night.. cussing out your buddies for flash banging his own team in the last round of Hardcore S&D <3",5,1
Kristen Howell,My son loves this game,5,1
Eric,"Love this game...best cod ever! Since available for backward compatibility, it takes me a while to get into a match online...but worth the wait to feel this game and instantly be transported back in time when COD was the best game on the planet.",5,1
Dianne E.,My husband loves the game. Fast delivery,5,1
Kman,"I have played all the call of duty games, but this is the best game that I enjoy with my son",5,1
JON,"The disk came in original box with manual, but the disk is not a legit copy. My xbox360 will not read it. It's the only disk it's ever done this with that's why I know it's a fake.",1,0
Chuck Wells,"Received the product within a couple of days after purchase (shipping was not an issue). I open the case and inspected the used/refurbished disk and it seemed like normal ware and tear. I put it in my xbox 360, it loaded to the main screen and then could not read past it. A window pulled up indicated the disk could not be read. I tried whipping it off multiple times and also installing the content to my xbox, but nothing would work. I have returned the item and will try purchasing it again. I may have just received a faulty item. I will update my review if the next one works. Though really, what can you expect for less than $10???",1,0
CoyKoiCourtney,"I enjoy a wide variety of games.
I am not at all a fan of the most recent CoD games and in fact I think this is the only one I've enjoyed.
I've always been a Battlefield woman, but after being nagged by every other man I know to play CoD, this was it.
Then again, if you've played one FPS, you've played them all really.",5,1
jacob joeckel,Wanted to replay it and was surprised by how cheap it was. It also arrived a day earlier than expected,5,1
Todd Groves,"What is most unfortunate about Modern Warfare 2, is that it no longer receives the level of support and updating it deserves. I had the most fun I've ever had playing MW2. If the developers supported MW2 with dedicated servers and regular updates, I would be all over this game. The one other COD that comes to mind is World At War. A masterpiece by Treyarch.",5,1
tracie,good,5,1
Jake Kenslow,it’s just the game. if you know you want to buy the game then it’s literally just that.,5,1
Adam Feick,"Games work and aren't scratched or damaged. The case is a little dirty but I can't complain, 10/10 would recommend",5,1
Princess Maleta,Xbox live,5,1
David DeRosier,This is a great game and the stimulus package code works.,5,1
Meselech Ketema,Came in great condition with box and Manuel’s,5,1
A. Chroniak,installed disc;needed a small update and after that i was playing in no time!,5,1
M Simpson,"Works prefectly! Definitely one of, if not the best Call of Duty ever made. I bought mine new.",5,1
john,Works great brings back a lot of memories,5,1
Jared Cooper,"Love this game, had to get it again.",5,1
Jim Kerr,Great game! It's very addicting so beware!,5,1
Caleb Wine,Game came broken and no case,1,0
Alex M,Here is my long overdue review from 2009. I don't remember.,5,1
King,Awesome game,5,1
Paul Verbeck,Works great. Would buy again from this dealer,5,1
Customer,The perfect game for when I hangout with my friends 🔥,5,1
Betty V,Ok,5,1
Marshall Akins,Came in early one of my favorite games. Like new,5,1
Karl,Great game. Best of the 3 maybe.,5,1
Manuel Hernandez,"Exactly what description said, came in better than good original case and everything, by far is has worked great and still is, good game.",4,1
jalbanese@student.ccc.edu,The greatest game ever bestowed upon the human race.,5,1
Issac J. Myers,Lots of adventure for a game.,5,1
J. Ice,"Bought this as a new item. It came to us resealed with shrink wrap, half of a sales sticker on back and a some small scratches on disc. It does work, but this was sold as new. I don't take chances buying used ones that they may not work.",2,0
